substrate,Group,Concentration,one_group,treat.No.,Cultivar,samples,Stem_volume,Stem_nodes,Length,Bush,Flowering_day,SPAD,Total_nitrogen,PO,KO,CaO,MgO,Fresh_weight,Dry_weight,Weight_diff,Vase_life,Petals,Petal_size,L,a,b
soil,SSR,0.3,PSA,4,CP,3,4.83,6,58.5,3,59,88.3,1.14,0.32,2.74,0.2,0.44,2.38,0.35,2.03,8,12,56.66,75.67,14.97,1.57
soil,SSR,0.3,PSA,4,CP,4,4.37,8,54.5,4,59,83.4,1.16,0.32,2.75,0.22,0.44,2.62,0.67,1.95,8,10,59.12,75.37,16.31,1.44
soil,SSR,0.3,PSA,4,CP,5,5.06,7,51.5,4,65,113.9,1.15,0.32,2.74,0.2,0.44,3.54,0.96,2.58,8,12,58.77,75.32,15.74,3.68
soil,SSR,0.3,PSA,4,CP,6,4.5,7,55.5,4,62,89.3,1.16,0.33,2.75,0.22,0.44,2.2,0.31,1.89,10,13,54.26,79.43,10.52,3.39
soil,SSR,0.5,PSA,4,CP,1,4.96,7,52.5,6,76,70.2,1.3,0.33,2.81,0.17,0.47,2.89,0.96,1.93,7,10,56.88,74.9,11.54,5.76
soil,SSR,0.5,PSA,4,CP,2,5.45,7,57.5,5,59,78.1,1.32,0.34,2.85,0.22,0.58,1.6,0.38,1.22,5,10,57.91,80.64,12.98,4.61
soil,SSR,0.5,PSA,4,CP,3,4.34,7,50,5,59,87.6,1.31,0.32,2.8,0.17,0.47,3.43,0.6,2.83,8,13,51.11,79.2,14.46,4.81
soil,SSR,0.5,PSA,4,CP,4,4.15,8,50.5,6,61,76.6,1.3,0.32,2.8,0.17,0.47,2.62,0.43,2.19,8,10,56.54,78.55,7.67,5.65
soil,SSR,0.5,PSA,4,CP,5,4.99,7,60.5,4,62,76.4,1.3,0.32,2.8,0.17,0.47,2.59,0.87,1.72,7,10,59.78,70.67,18.44,3.41
soil,SSR,0.5,PSA,4,CP,6,5.03,8,63,5,65,91.1,1.33,0.32,2.8,0.17,0.47,2.94,0.51,2.43,7,10,54.44,80.51,8.3,2.33
soil,SSR,0,PSA,1,BP,1,4.34,6,43,5,56,98.6,1.16,0.39,2.62,0.31,0.59,2.26,0.52,1.74,7,11,43.21,88.35,1.91,1.74
soil,SSR,0,PSA,1,BP,2,4.99,6,51,6,73,96.6,1.18,0.35,2.66,0.38,0.68,2.87,0.47,2.4,9,12,40.69,31.41,37.29,-31.48
soil,SSR,0,PSA,1,BP,3,4.73,5,56,5,62,89.1,1.18,0.37,2.64,0.31,0.58,2.01,0.56,1.45,9,15,42.77,33.24,30.65,-25.69
soil,SSR,0,PSA,1,BP,4,3.84,5,51.5,4,59,110.6,1.18,0.35,2.66,0.38,0.68,2.51,0.61,1.9,9,14,45.89,67.86,13.02,-11.9
soil,SSR,0,PSA,1,BP,5,4.75,6,69,4,64,102.6,1.16,0.35,2.62,0.37,0.67,2.23,0.47,1.76,7,12,42.89,60.04,12.93,-12.03
soil,SSR,0,PSA,1,BP,6,5.3,6,54.5,5,65,116.6,1.18,0.35,2.64,0.38,0.68,2.52,0.78,1.74,7,10,40.97,71.49,9.93,-8.29
soil,SSR,0.1,PSA,2,BP,1,5.27,5,64.5,7,59,102.6,0.95,0.32,2.31,0.24,0.46,1.5,0.32,1.18,10,10,45.87,68.52,10.78,-9.89
soil,SSR,0.1,PSA,2,BP,2,5.87,5,62,7,60,130.4,0.96,0.34,2.33,0.29,0.54,1.69,0.36,1.33,7,10,40.4,65.61,15.96,-12.55
soil,SSR,0.1,PSA,2,BP,3,4.38,5,51,5,65,121.4,0.85,0.27,2.54,0.25,0.47,1.65,0.4,1.25,10,10,45.45,71.17,11.43,-8.47
soil,SSR,0.1,PSA,2,BP,4,4.89,6,62.5,6,65,113.8,0.96,0.34,2.33,0.29,0.54,2.56,0.53,2.03,8,9,45.88,63.93,15.42,-13.49
soil,SSR,0.1,PSA,2,BP,5,4.42,5,55,5,62,109,0.95,0.32,2.31,0.29,0.54,2.24,0.67,1.57,8,10,43.33,84.78,1.51,1.02
soil,SSR,0.1,PSA,2,BP,6,5.32,5,50.5,4,65,120.5,0.96,0.34,2.33,0.29,0.54,2.6,0.37,2.23,10,10,47.77,51.84,17.43,-14.86
soil,SSR,0.3,PSA,3,BP,1,5.22,6,65.5,6,59,112.6,0.94,0.35,2.55,0.26,0.52,2.47,0.54,1.93,8,9,45.98,78.75,3.16,1.25
soil,SSR,0.3,PSA,3,BP,2,5.28,6,64.5,5,60,117.3,0.98,0.35,2.56,0.32,0.6,2.53,0.59,1.94,10,10,48,81.03,3.39,-0.45
soil,SSR,0.3,PSA,3,BP,3,5,6,54.5,5,61,105.5,0.97,0.34,2.22,0.31,0.49,2.88,0.49,2.39,10,10,45.36,40.27,27.5,-22.69
soil,SSR,0.3,PSA,3,BP,4,5.94,6,63,7,62,96.9,0.97,0.34,2.55,0.32,0.6,2.25,0.38,1.87,10,10,52.87,54.71,20.48,-16.12
soil,SSR,0.3,PSA,3,BP,5,4.37,5,56.5,6,65,105.4,0.94,0.33,2.53,0.32,0.61,2.65,0.72,1.93,10,10,47.77,68.78,10.7,-8.33
soil,SSR,0.3,PSA,3,BP,6,5.37,5,59.5,7,76,104.9,0.97,0.34,2.55,0.32,0.6,1.96,0.52,1.44,10,10,45.92,83.74,2.49,0.91
soil,SSR,0.5,PSA,4,BP,1,4.37,6,53.5,6,77,111.6,0.96,0.34,2.76,0.24,0.51,3.47,0.6,2.87,12,10,51.84,53.18,11.64,-10.12
soil,SSR,0.5,PSA,4,BP,2,4.45,6,49,5,59,99.6,0.98,0.36,2.74,0.29,0.6,2.41,0.76,1.65,7,10,46.74,62.65,13.46,-10.19
soil,SSR,0.5,PSA,4,BP,3,4.52,6,54.5,5,62,137.6,0.77,0.49,2.28,0.31,0.49,2.64,0.65,1.99,12,10,47.17,26.43,33.58,-25.99
soil,SSR,0.5,PSA,4,BP,4,4.7,6,51.5,6,65,119,0.98,0.36,2.74,0.29,0.61,2.11,0.32,1.79,12,11,43.12,77.61,7.08,-3.87
soil,SSR,0.5,PSA,4,BP,5,3.94,5,47,5,65,106.6,0.96,0.34,2.76,0.29,0.6,1.96,0.44,1.52,10,10,46.54,52.55,22.3,-18.11
soil,SSR,0.5,PSA,4,BP,6,3.95,5,52.5,4,75,104,0.98,0.36,2.74,0.29,0.61,2.17,0.32,1.85,10,10,46.01,48.22,21.17,-17.09
soil,SSR,0,PSA,1,KW,1,4.08,8,66.5,3,64,99,1.34,0.35,2.36,0.24,0.47,3.71,0.61,3.1,7,11,42.98,86.24,-2.15,6.58
soil,SSR,0,PSA,1,KW,2,4.92,7,63.5,3,65,74.5,1.36,0.38,2.32,0.31,0.57,3.9,0.68,3.22,7,13,44.62,90.57,-0.85,3.83
soil,SSR,0,PSA,1,KW,3,3.86,7,56.7,3,65,90.8,1.33,0.37,2.35,0.24,0.47,3.36,0.63,2.73,7,11,42.36,87.73,-0.53,2.32
soil,SSR,0,PSA,1,KW,4,4.03,7,54.5,2,65,117.7,1.31,0.37,2.38,0.24,0.47,3.64,0.47,3.17,7,14,44.06,85.13,-2.29,7.68
soil,SSR,0,PSA,1,KW,5,4.63,7,63.5,4,63,134,1.33,0.37,2.34,0.24,0.47,4.54,0.43,4.11,7,11,40.88,90.19,-0.7,3.84
soil,SSR,0,PSA,1,KW,6,4.89,7,61,4,60,125.1,1.31,0.37,2.38,0.24,0.47,2.94,0.85,2.09,10,15,41.22,91.9,-0.79,3.35
soil,SSR,0.1,PSA,2,KW,1,4.36,7,66.5,4,61,109.4,0.83,0.41,1.91,0.2,0.35,4.4,0.65,3.75,10,14,47.12,82.71,0.02,2.05
soil,SSR,0.1,PSA,2,KW,2,4.23,7,67,6,65,128.7,0.86,0.45,1.98,0.24,0.41,1.01,0.49,0.52,10,14,48.55,89.11,-0.94,5.4
soil,SSR,0.1,PSA,2,KW,3,4.26,7,58.5,5,65,119.4,0.81,0.42,1.93,0.2,0.35,1.61,0.69,0.92,8,15,51,91.42,0.03,2.6
soil,SSR,0.1,PSA,2,KW,4,4.29,7,64.5,4,60,125.5,0.83,0.41,1.91,0.2,0.35,3.09,0.64,2.45,8,14,44.21,91.76,0.14,2.45
soil,SSR,0.1,PSA,2,KW,5,4.13,7,65.5,5,62,130.5,0.83,0.41,1.91,0.2,0.35,3.72,0.4,3.32,12,14,40.23,91.54,0.17,2.49
soil,SSR,0.1,PSA,2,KW,6,4.41,6,58.5,4,64,112.5,0.83,0.41,1.91,0.2,0.35,3.58,0.61,2.97,10,13,42.47,91.03,-0.11,3.56
soil,SSR,0.3,PSA,3,KW,1,4.5,7,63.5,4,65,133.8,0.74,0.42,1.89,0.24,0.4,3.81,0.53,3.28,10,11,44.31,82.02,-0.44,4.25
soil,SSR,0.3,PSA,3,KW,2,4.05,6,59.5,5,59,124.7,0.72,0.44,1.88,0.28,0.46,3.12,0.66,2.46,8,10,42.65,91.11,-0.13,2.6
soil,SSR,0.3,PSA,3,KW,3,4.88,7,60,5,59,130.6,0.76,0.43,1.87,0.23,0.4,5.42,0.69,4.73,12,14,45.77,85.1,-0.69,4.87
soil,SSR,0.3,PSA,3,KW,4,4.36,6,58,4,77,115.7,0.75,0.42,1.89,0.24,0.4,2.71,0.38,2.33,7,10,48.26,90.76,-0.09,2.87
soil,SSR,0.3,PSA,3,KW,5,5.2,6,49.5,4,62,89.4,0.74,0.44,1.89,0.24,0.41,2.91,0.63,2.28,8,10,45.54,91.26,-0.59,4.68
soil,SSR,0.3,PSA,3,KW,6,4.04,6,50,5,65,115,0.75,0.42,1.89,0.24,0.4,3.73,0.42,3.31,12,14,53.33,88.62,-1.13,5.2
soil,SSR,0.5,PSA,4,KW,1,4.44,7,68,7,76,89.1,0.29,2.75,1.81,0.22,0.35,4.2,0.45,3.75,12,10,41.12,91.34,-1.67,6.8
soil,SSR,0.5,PSA,4,KW,2,4.09,6,52.5,4,62,67.2,0.27,2.76,1.85,0.27,0.4,3.86,0.39,3.47,10,10,45.54,87.86,-2.96,9.99
soil,SSR,0.5,PSA,4,KW,3,4.63,7,58,4,65,103.8,0.28,2.74,1.81,0.22,0.35,4.26,0.77,3.49,12,14,49.66,89.55,-0.73,3.93
soil,SSR,0.5,PSA,4,KW,4,5.04,7,66.5,5,65,98.6,0.28,2.74,1.81,0.22,0.35,3.67,0.43,3.24,10,10,48.77,88.44,-0.46,3.56
soil,SSR,0.5,PSA,4,KW,5,5.02,6,70,5,65,101.9,0.28,2.74,1.81,0.22,0.35,4.43,0.9,3.53,10,10,42.65,91.66,-2.24,7.56
soil,SSR,0.5,PSA,4,KW,6,5,6,58,4,75,137.7,0.28,2.74,1.81,0.22,0.35,3.11,0.42,2.69,8,10,45.19,88.33,-1.53,6.29
Nutrient solution,HSV,0,NSA,1,AG,1,3.03,7,64,3,56,108,1.12,1.47,3.23,0.18,0.65,2.6,1.29,1.31,5,10,48.85,80.93,-10.4,18.92
Nutrient solution,HSV,0,NSA,1,AG,2,3.24,8,55.5,2,65,103.9,1.14,1.45,3.24,0.19,0.66,2.79,1.34,1.45,5,11,50.79,80.93,-10.4,18.92
Nutrient solution,HSV,0,NSA,1,AG,3,3.81,8,57.8,2,59,121.2,1.11,1.47,3.25,0.18,0.64,2.45,1.04,1.41,5,10,51.35,83.37,-11.4,21.17
Nutrient solution,HSV,0,NSA,1,AG,4,3.91,7,45,4,59,133.3,1.13,1.45,3.25,0.19,0.66,3,1.46,1.54,6,10,52.76,75.38,-13.14,24.48
Nutrient solution,HSV,0,NSA,1,AG,5,3.6,7,43.5,2,59,118.2,1.16,1.47,3.24,0.18,0.62,2.72,1.35,1.37,5,11,49.71,59.81,-13.68,24.43
Nutrient solution,HSV,0,NSA,1,AG,6,2.88,8,54,2,59,88.6,1.14,1.44,3.25,0.17,0.64,2.7,1.06,1.64,15,9,49.97,64.63,-8.78,16.32
Nutrient solution,HSV,0.1,NSA,2,AG,1,3.23,8,43,2,59,100.6,1.06,0.7,3.13,0.16,0.53,2.29,1.08,1.21,5,10,46.72,79.96,-13.41,28.18
Nutrient solution,HSV,0.1,NSA,2,AG,2,3.2,8,53.5,2,61,99.6,1.05,0.72,3.15,0.18,0.58,2.71,0.89,1.82,5,10,38.58,75.02,-12.23,24.52
Nutrient solution,HSV,0.1,NSA,2,AG,3,3.82,9,49,3,76,56.4,1.08,0.71,3.13,0.16,0.55,2.75,1.31,1.44,10,14,41.74,70.7,-13.11,24.17
Nutrient solution,HSV,0.1,NSA,2,AG,4,3.3,9,39,2,77,75.9,1.05,0.72,3.15,0.18,0.58,2.98,1.18,1.8,16,10,43.01,85.66,-9.76,18.06
Nutrient solution,HSV,0.1,NSA,2,AG,5,3.68,10,42,2,75,103,1.08,0.74,3.14,0.16,0.53,2.19,0.69,1.5,7,10,43.65,75.22,-11.03,21.1
Nutrient solution,HSV,0.1,NSA,2,AG,6,3.26,8,46.5,2,80,98.2,1.04,0.71,3.13,0.16,0.53,2.46,1.13,1.33,8,10,48.9,79.38,-11.41,21.68
Nutrient solution,HSV,0.3,NSA,3,AG,1,4.01,9,56,3,65,105,0.63,2.6,3.38,0.17,0.58,2.67,1.11,1.56,10,10,44.16,70.23,-10.13,20.41
Nutrient solution,HSV,0.3,NSA,3,AG,2,3.39,8,51.5,2,65,111.7,0.61,2.62,3.36,0.16,0.59,3.01,1.23,1.78,16,11,49.23,84.22,-7.47,14.68
Nutrient solution,HSV,0.3,NSA,3,AG,3,3.76,8,48.5,2,65,114,0.61,2.61,3.37,0.17,0.57,2.79,1.03,1.76,12,11,39.61,80.78,-9.8,18.64
Nutrient solution,HSV,0.3,NSA,3,AG,4,3.33,8,44,2,65,96.3,0.61,2.62,3.36,0.16,0.59,2.19,0.97,1.22,8,10,39.07,82.84,-7.99,15.32
Nutrient solution,HSV,0.3,NSA,3,AG,5,4.5,12,54,4,68,104.5,0.65,2.62,3.38,0.16,0.58,2.18,1.14,1.04,6,10,44.72,76.13,-10.88,19.56
Nutrient solution,HSV,0.3,NSA,3,AG,6,3.87,7,48,3,68,93.2,0.62,2.61,3.37,0.17,0.58,2.36,1.1,1.26,10,11,43.81,69.66,-8.35,15.9
Nutrient solution,HSV,0.5,NSA,4,AG,1,3.83,8,61.5,2,59,114,1.37,0.6,3.28,0.17,0.59,2.84,0.88,1.96,12,12,49.58,55.04,-13.39,25.07
Nutrient solution,HSV,0.5,NSA,4,AG,2,3.36,7,49,2,65,90.6,1.39,0.61,3.27,0.18,0.58,2.64,1.25,1.39,10,12,37.15,75.6,-7.85,13.93
Nutrient solution,HSV,0.5,NSA,4,AG,3,3.57,7,50,3,65,70.7,1.36,0.61,3.29,0.17,0.58,2.81,1.06,1.75,5,10,49.82,55,-11.17,20.7
Nutrient solution,HSV,0.5,NSA,4,AG,4,3.14,8,51,2,65,114.5,1.37,0.6,3.26,0.18,0.58,2.58,1.58,1,5,10,48.84,76.39,-12.79,23.57
Nutrient solution,HSV,0.5,NSA,4,AG,5,4.61,8,56.5,2,65,136.2,1.36,0.6,3.28,0.16,0.58,2.63,1.24,1.39,5,10,44.4,61.94,-11.36,19.75
Nutrient solution,HSV,0.5,NSA,4,AG,6,3.06,7,43,3,68,103.8,1.34,0.6,3.29,0.17,0.58,2.47,1.29,1.18,5,9,49.85,74.37,-9.37,17.59
Nutrient solution,HSV,0,NSA,1,CP,1,3.27,8,60.5,2,59,104,1.04,0.89,2.46,0.2,0.39,4.34,1.7,2.64,5,17,51.31,79.32,3.63,3.62
Nutrient solution,HSV,0,NSA,1,CP,2,4.43,8,57,2,59,128,1.06,0.88,2.47,0.26,0.48,4.27,1.59,2.68,6,13,52.13,50.87,3.22,6.69
Nutrient solution,HSV,0,NSA,1,CP,3,4.65,8,56,4,76,87.9,1.02,0.88,2.46,0.2,0.39,3.99,1.27,2.72,7,15,52.39,53.05,1.75,11.96
Nutrient solution,HSV,0,NSA,1,CP,4,4.05,9,67.6,3,65,97.3,1.06,0.88,2.44,0.2,0.39,3.23,0.94,2.29,7,11,57.14,72.21,7.16,3.66
Nutrient solution,HSV,0,NSA,1,CP,5,3.72,8,53.5,3,65,92.9,1.04,0.88,2.46,0.2,0.39,2.84,1.53,1.31,5,10,48.79,79.79,6.82,3.07
Nutrient solution,HSV,0,NSA,1,CP,6,4.69,8,56,2,64,120,1.06,0.88,2.44,0.2,0.39,3.54,1.27,2.27,5,12,55.22,79.54,3.01,2.28
Nutrient solution,HSV,0.1,NSA,2,CP,1,4.28,7,65,2,65,95.9,1.09,0.48,2.35,0.25,0.45,3.56,1.24,2.32,5,16,47.31,78.66,7.17,2.2
Nutrient solution,HSV,0.1,NSA,2,CP,2,4.3,8,70.5,2,64,126.7,1.06,0.47,2.38,0.32,0.54,3.17,1.07,2.1,5,12,53.97,74.56,5.49,3.83
Nutrient solution,HSV,0.1,NSA,2,CP,3,4.51,7,63.5,3,65,98.1,1.08,0.45,2.34,0.25,0.45,3.37,1.37,2,5,12,53.6,83.1,9.73,3.79
Nutrient solution,HSV,0.1,NSA,2,CP,4,3.84,7,57,3,65,117.2,1.08,0.48,2.34,0.25,0.45,3.61,1.54,2.07,10,14,47.27,81.2,9.25,4.46
Nutrient solution,HSV,0.1,NSA,2,CP,5,4.12,8,62,3,65,116.6,1.09,0.48,2.34,0.25,0.45,2.88,1.42,1.46,6,10,50.18,83.41,5.73,3.86
Nutrient solution,HSV,0.1,NSA,2,CP,6,4.59,9,63,3,65,108.2,1.08,0.48,2.34,0.25,0.45,3.38,1.53,1.85,5,13,55.02,85.15,5.11,4.08
Nutrient solution,HSV,0.3,NSA,3,CP,1,4.07,7,56,3,65,102.8,0.92,0.78,2.65,0.23,0.56,3.85,1.21,2.64,12,16,51.6,84.68,6.85,3.7
Nutrient solution,HSV,0.3,NSA,3,CP,2,4.03,8,61,4,63,129.6,0.95,0.75,2.66,0.29,0.68,3.82,1.44,2.38,8,13,53.11,63.41,4.09,2.69
Nutrient solution,HSV,0.3,NSA,3,CP,3,4.44,9,73,4,65,105.3,0.91,0.77,2.64,0.23,0.56,3.25,1.06,2.19,8,15,47.53,81.53,3.78,3.68
Nutrient solution,HSV,0.3,NSA,3,CP,4,4.14,8,57,3,65,129.2,0.91,0.77,2.64,0.23,0.56,3.04,1.16,1.88,8,11,48.61,85.41,5.19,4.03
Nutrient solution,HSV,0.3,NSA,3,CP,5,3.81,8,56.5,2,62,131.2,0.91,0.76,2.64,0.23,0.56,4.47,0.58,3.89,7,21,50.14,80.84,3.24,2.35
Nutrient solution,HSV,0.3,NSA,3,CP,6,4.02,7,48,2,62,102.6,0.91,0.77,2.64,0.23,0.56,3.91,1.63,2.28,7,12,54.84,78.91,4.21,4.26
Nutrient solution,HSV,0.5,NSA,4,CP,1,4.87,9,70.5,3,65,114.2,0.95,1.39,2.7,0.24,0.55,3.72,1.29,2.43,10,15,45.68,75.68,9.61,2.66
Nutrient solution,HSV,0.5,NSA,4,CP,2,4.05,7,48.5,3,68,100.5,0.97,1.38,2.73,0.31,0.67,3.45,1.19,2.26,12,13,49.68,79.77,10.62,3.32
Nutrient solution,HSV,0.5,NSA,4,CP,3,4.82,8,58,3,68,94.7,0.94,1.37,2.69,0.24,0.55,3.34,1.36,1.98,6,15,53.11,79.16,9.06,2.37
Nutrient solution,HSV,0.5,NSA,4,CP,4,4.54,8,59,4,65,97.2,0.95,1.39,2.69,0.24,0.55,3.77,1.18,2.59,5,12,55.45,86.7,6.72,4.32
Nutrient solution,HSV,0.5,NSA,4,CP,5,4.49,8,56,5,75,80.9,0.97,1.39,2.69,0.24,0.55,4.11,1.07,3.04,6,12,56.35,86.47,8.43,4.42
Nutrient solution,HSV,0.5,NSA,4,CP,6,4.61,8,64,3,65,108.1,0.95,1.39,2.69,0.24,0.55,3.88,1.6,2.28,6,13,55.77,80.07,1.93,3.88
Nutrient solution,HSV,0,NSA,1,BP,1,3.72,6,47.5,3,56,128.9,1.15,1.71,2.77,0.36,0.89,2.99,1.02,1.97,9,11,46.22,83.48,4.42,-2.17
Nutrient solution,HSV,0,NSA,1,BP,2,3.59,6,61.5,2,56,113.8,1.16,1.72,2.78,0.42,1,2.35,1.08,1.27,7,10,42.4,66.35,-0.45,2.38
Nutrient solution,HSV,0,NSA,1,BP,3,4.88,7,67,4,59,122.9,1.17,1.73,2.78,0.36,0.89,2.84,1.29,1.55,9,15,43.1,75.51,0.28,5.52
Nutrient solution,HSV,0,NSA,1,BP,4,4.2,6,62.5,2,59,72.3,1.16,1.72,2.78,0.43,1.01,3.01,1.1,1.91,7,11,43.85,70.26,7.7,-4.57
Nutrient solution,HSV,0,NSA,1,BP,5,3.59,6,45,4,61,104.5,1.15,1.71,2.77,0.36,1.04,3.05,0.91,2.14,7,12,47.97,58.58,9.77,-7.53
Nutrient solution,HSV,0,NSA,1,BP,6,3.77,6,46.5,3,72,134,1.17,1.7,2.74,0.36,0.89,2.12,0.81,1.31,12,10,43.48,89.09,-0.35,2.18
Nutrient solution,HSV,0.1,NSA,2,BP,1,5.04,6,61,4,68,138.6,1.36,0.7,2.74,0.33,0.83,3.72,1.24,2.48,12,18,39.35,32.85,26.28,-21.47
Nutrient solution,HSV,0.1,NSA,2,BP,2,4.08,6,46.5,3,68,120.6,1.35,0.72,2.75,0.38,0.92,3.78,1,2.78,10,16,41.19,63.4,14.37,-12.82
Nutrient solution,HSV,0.1,NSA,2,BP,3,3.7,6,50,3,65,122.6,1.34,0.69,2.72,0.33,0.87,3.47,1.23,2.24,8,10,40.98,82.09,0.06,1.18
Nutrient solution,HSV,0.1,NSA,2,BP,4,4.32,7,23,3,68,108.9,1.35,0.72,2.75,0.38,0.92,2.77,0.77,2,7,13,40.02,39.41,32.15,-25.77
Nutrient solution,HSV,0.1,NSA,2,BP,5,4.74,6,49,4,65,138.7,1.36,0.7,2.74,0.38,0.92,4.28,1.1,3.18,10,19,42.09,72.77,1.07,1.48
Nutrient solution,HSV,0.1,NSA,2,BP,6,4.28,6,45.5,4,65,109.7,1.34,0.69,2.72,0.33,0.83,2.99,1.18,1.81,10,13,41.42,86.83,-0.5,3.16
Nutrient solution,HSV,0.3,NSA,3,BP,1,4.58,7,55.5,4,64,140.2,1,0.65,2.6,0.27,0.77,2.88,0.84,2.04,11,10,45.94,73.99,5.46,-3.01
Nutrient solution,HSV,0.3,NSA,3,BP,2,4.01,6,53.5,2,64,146.4,1.05,0.66,2.61,0.32,0.85,3.94,0.77,3.17,7,15,47.01,72.74,5.92,-3.01
Nutrient solution,HSV,0.3,NSA,3,BP,3,3.33,5,40,2,65,118.7,1.03,0.66,2.59,0.26,0.77,2.73,0.79,1.94,11,11,41.83,50.38,22.85,-19.63
Nutrient solution,HSV,0.3,NSA,3,BP,4,4.19,6,62.5,2,65,134.6,1.05,0.66,2.61,0.32,0.85,2.75,0.88,1.87,16,10,47.2,85.55,2.53,-0.81
Nutrient solution,HSV,0.3,NSA,3,BP,5,4.46,7,58.5,2,65,144.9,1.03,0.65,2.63,0.33,0.85,4.84,1.57,3.27,16,16,48.42,63.5,13.8,-10.41
Nutrient solution,HSV,0.3,NSA,3,BP,6,4.92,7,53,3,59,116.3,1.03,0.66,2.59,0.27,0.77,2.65,0.99,1.66,16,10,44.13,75.77,9.46,-7.06
Nutrient solution,HSV,0.5,NSA,4,BP,1,3.93,6,48.5,3,56,136.9,1.27,0.62,2.42,0.28,0.75,2.93,0.71,2.22,8,10,38.83,69.41,11.36,-9.65
Nutrient solution,HSV,0.5,NSA,4,BP,2,4.94,6,52,4,65,131.6,1.26,0.63,2.43,0.34,0.84,2.32,0.95,1.37,8,10,43.33,73.08,8.45,-5.67
Nutrient solution,HSV,0.5,NSA,4,BP,3,4.05,6,50.5,2,75,133.6,1.28,0.64,2.41,0.28,0.76,3.89,0.76,3.13,8,10,49.96,43.15,31.49,-26.81
Nutrient solution,HSV,0.5,NSA,4,BP,4,3.92,6,60,3,59,135.5,1.26,0.63,2.43,0.34,0.84,2.91,0.95,1.96,10,15,46.05,67.91,7.71,-5.22
