condition,substrate,group,treatment method ,treatment,treat No.,cultivar,number,samples,L_1,a_1,b_1,L_6,a_6,b_6,L_9,a_9,b_9,L_11,a_11,b_11,L_14,a_14,b_14
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,2,5,78.7,11.9,0.8,82.76,8.71,1.66,79.17,15.46,0.86,79.26,11.87,1.4,82.2,9.79,2.35
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,3,5,76.58,12.24,0.68,83.51,8.96,1.9,79.39,15.59,0.95,79.41,12.06,1.47,82.19,8.77,2.36
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,1,6,71.25,15.49,-0.41,56.49,6.95,0.68,83.45,9.4,1.46,77.63,8.84,4.97,81.91,7.55,5.32
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,2,6,76.39,14.7,0.01,57.61,6.12,-0.19,84.05,9.71,1.54,77.41,8.8,4.87,81.73,7.63,5.43
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,3,6,77.78,14.21,0.11,62.15,5.8,0.49,84.41,9.85,1.54,77.34,8.67,4.89,81.84,7.47,5.33
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,1,7,80.75,7.29,0.42,77.08,7.05,1.15,78.45,12.54,1.57,83.21,6.97,4.74,76.19,3.13,15.51
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,2,7,81.25,7.79,0.64,76.96,7.04,1.24,78.84,12.46,1.49,82.9,6.85,4.78,75.92,3.04,15.57
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,3,7,80.72,7.82,0.8,77.29,7.05,1.27,79.26,12.79,1.63,82.87,6.88,4.79,76.36,2.98,15.84
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,1,8,55.02,9.82,-0.56,57.9,4.84,5.46,81.87,7.83,3.02,82.93,7.33,2.17,85.56,3.37,4.91
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,2,8,48.4,9.83,-0.98,59.73,3.74,8.21,81.96,7.83,3.12,83.08,7.33,2.19,85.38,3.23,4.96
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,3,8,43.78,10.14,-1.81,60.8,2.32,12.74,81.03,7.58,2.91,83.41,7.6,2.32,85.48,3.21,4.98
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,1,9,75.23,12.95,0.2,74.51,7.73,0.25,73.78,14.75,2.46,80.16,11.58,5.11,76.15,8.82,10.04
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,2,9,65.13,9.39,-0.31,76.79,7.83,0.44,72.81,14.28,2.15,80.21,11.49,5.17,76.46,8.66,10.12
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,3,9,69.91,5.88,-0.2,77.87,7.85,0.58,73.31,14.4,2.28,80.31,11.58,5.2,76.48,8.73,10.1
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,1,10,80.64,9.95,0.68,84.56,6.92,1.81,78.07,8.61,1.38,73.34,17.06,5.16,76.17,8.92,9.14
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,2,10,80.8,10.28,0.87,83.77,6.68,1.7,77.69,8.57,1.27,73.34,17.02,5.2,77.64,8.67,9.42
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,3,10,80.77,10.62,1.08,84.29,6.85,1.92,78.1,8.65,1.39,83.48,17.14,5.12,78.41,8.65,9.41
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,1,11,79.76,8.3,1.76,84.35,6.2,1.52,82.22,13.11,1.39,80.41,10.52,4.27,81.77,7.5,5.92
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,2,11,79.2,8.65,1.74,78.94,5.76,0.57,82.27,13.15,1.42,81.5,9.96,4.34,81.95,7.41,6
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,3,11,78.79,8.73,1.54,75.21,5.41,-0.04,82.33,13.3,1.44,81.74,9.88,4.4,81.99,7.3,6.12
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,1,12,76,10.76,0.18,71.97,5.89,1.09,82.79,9.87,4.01,72.26,3.84,9.55,75.93,2.79,12.21
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,2,12,76.27,11.07,0.1,72.33,5.83,1.04,82.88,9.85,4.06,74.89,3.56,10.14,75.49,2.8,11.81
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,3,12,77.6,11.6,-0.14,73.53,5.78,1.32,82.92,9.93,4.03,76.22,3.49,10.46,76.16,2.75,12.25
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,1,1,84.03,4.7,1.87,81.57,5.31,1.9,86.99,6.28,4.88,74.19,3.67,6.46,74.79,5.59,13.03
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,2,1,80.21,4.28,0.9,81.06,5.4,1.9,86.49,6.27,4.81,77.9,5.82,7.79,74.11,5.49,13
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,3,1,77.15,4.58,0.48,82.46,5.71,2.1,86.83,6.26,4.79,77.75,5.76,7.74,74.45,5.86,13.51
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,1,2,77.93,6.25,0.79,80.53,6.2,0.84,73.11,5.34,8.34,82.91,7.22,2,77.57,4.09,4.31
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,2,2,77.77,6.48,0.83,80.39,6.11,0.83,74.23,5.18,8.58,82.98,7.27,2.03,77.84,4.89,4.44
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,3,2,82.93,5.52,2.24,80.33,6.12,0.84,77.27,5.82,8.39,83.17,7.37,2.05,80.47,4.13,4.93
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,1,3,73.21,16.03,0.12,79.24,16.29,-0.14,71.72,2.17,5.34,82.07,6.72,3.3,71.49,16.06,0.63
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,2,3,74.38,17.16,0.58,79.34,16.51,-0.03,75.86,1.45,5.43,81.54,6.7,3.23,71.7,16.03,0.71
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,3,3,74.8,17.3,0.78,79.45,16.64,0,77.42,0.96,5.85,82.56,6.87,3.53,71.9,16.16,0.81
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,1,4,68.84,7.79,-0.21,76.71,13.45,0.84,57.75,3.08,3.16,75.75,6.8,3.96,71.16,8.71,17.56
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,2,4,73.63,8.1,-0.1,77.73,13.63,1,57.92,3.07,3.13,76.29,6.86,4.11,71.56,8.78,17.49
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,3,4,78.26,9.05,-0.05,78.77,13.79,1.22,59.18,2.88,3.31,76.22,6.72,4.04,71.68,8.76,17.57
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,1,5,77.86,7.31,2.61,80.58,3.23,1.88,81.83,2.43,3.81,85.47,6.79,4.34,85.98,2.72,4.22
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,2,5,76.81,6.6,2.9,81.83,3.18,2.08,79.34,2.43,3.32,85.16,6.47,4.16,85.91,2.74,4.2
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,3,5,77.73,4.79,2.85,81.59,3.03,1.91,81.28,2.55,3.81,84.74,6.19,3.88,86.77,2.8,4.51
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,1,6,72.29,10.66,0.84,77.05,15.3,0.15,67.06,3.74,6.56,76.07,10.36,3.75,74.42,12.8,3.8
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,2,6,68.64,14.32,-0.41,77.09,15.48,0.15,60.68,4.17,4.87,75.67,11.08,3.76,75.15,12.59,3.91
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,3,6,64.72,13.55,-1,77.15,15.49,0.18,60.9,4.12,4.81,75.56,11.23,3.78,76.51,11.91,4.25
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,1,7,78.71,6.41,1.29,76.69,3.88,2.41,83.14,8.77,3.39,73.26,6.89,2.42,76.73,10.85,6.37
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,2,7,80.51,6.04,1.35,72.42,4.43,2.03,83.42,8.81,3.48,79.94,6.77,3.11,76.16,9.9,6.54
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,3,7,76.82,7.13,1.15,74.57,4.12,2.18,83.8,8.94,3.64,80.54,6.76,3.23,76.85,9.79,6.9
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,1,8,77.86,4.92,0.25,77.22,10.68,1.04,82.81,12.37,1.29,76.37,12.61,3.94,65.56,2.93,13.27
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,2,8,71.41,5.22,-0.37,77.13,10.7,1.06,82.5,12.18,1.28,76.92,13.04,4.12,67.41,1.06,11.21
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,3,8,74.6,8.2,-0.33,78.11,10.95,1.33,82.65,12.37,1.28,77.02,13.14,4.19,70.87,1.45,10.92
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,1,9,74.63,2.56,8.75,80.92,1.76,3.07,86.39,2.88,7.82,80.39,4.92,2.12,83.36,1.04,5.41
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,2,9,73.91,1.61,7.58,80.67,1.83,2.9,85.94,2.81,6.88,78.22,3.23,1.78,83.5,0.86,5.48
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,3,9,70.24,2.28,6.61,83.35,1.7,3.19,86.73,2.82,6.95,80.01,2.69,2.41,84.62,0.9,5.79
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,1,10,74.78,7.33,3.58,83.85,9.36,0.83,84.03,8.45,2.47,83.89,9.29,2.53,79.34,5.12,3.56
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,2,10,76.31,7.34,3.73,83.46,9.1,0.74,83.22,8.25,2.23,83.82,9.36,2.5,81.06,5.01,3.8
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,3,10,76.18,7.12,3.7,83.57,9.11,0.7,83.84,8.79,2.45,83.93,9.34,2.6,81.99,5.01,3.94
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,1,11,63.45,6.81,2.34,85.25,5.26,3.75,82,4.78,3.96,71.25,0.65,4.39,76.99,5.13,6.69
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,2,11,64.67,14.08,-2.43,85.33,5.29,3.83,81.81,4.85,4.11,79.39,0.75,3.74,78.63,5.23,7.25
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,3,11,77.66,5.17,5.78,85.43,5.33,3.88,82.04,4.78,4.22,80.09,0.73,3.83,79.69,5.12,7.7
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,1,12,77.18,16.66,-0.33,85.15,5.03,2.72,85.21,5.81,2.54,84.56,4.37,2.96,78.08,11.66,1.99
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,2,12,77.49,16.81,-0.25,84.56,4.81,2.6,85.06,5.78,2.52,83.16,4.23,2.82,78.16,11.72,2.06
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_CP,4,CP,3,12,77.47,16.76,-0.22,84.55,4.73,2.62,85.59,6.06,2.73,82.7,4.28,2.79,78.27,11.76,2.08
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,1,1,64.49,17.06,-16.87,51.77,25.7,-22.63,73.06,5.88,-4.6,59.56,18.37,-17.77,68.21,6.78,-3.96
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,2,1,61.38,19.25,-18.75,47.53,29.1,-25.79,72.14,5.76,-4.56,59.3,18.43,-17.82,69.91,9.77,-7.04
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,3,1,57.72,21.68,-20.66,46.89,29.26,-26.08,71.71,5.74,-4.55,59.25,18.48,-17.85,70.6,9.7,-6.83
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,1,2,56.51,19.85,-18.26,73.88,9.78,-9.7,74.59,5.59,-4.49,82.69,4.33,-2.51,83.11,1.45,11.5
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,2,2,56.67,19.91,-18.1,75.27,7.82,-7.87,73.96,6.17,-5.1,82.96,4.23,-2.43,79.54,2.88,7.9
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,3,2,57.06,17.27,-15.61,76.53,6.32,-6.21,73.46,6.99,-6.18,83.26,4.31,-2.39,79.52,2.83,7.89
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,1,3,48.7,25.31,-22.78,36.58,28.56,-25.29,43.38,19.3,-10.79,73.49,6.79,-2.89,64.56,5.38,18.91
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,2,3,49.13,25.15,-22.67,36.4,27.98,-24.6,42.98,19.48,-10.98,72.93,6.97,-3.01,64.93,5.24,19.11
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,3,3,49.07,25.12,-22.61,36.25,28.78,-25.18,43.23,20.41,-12.42,73.35,6.92,-3.01,65.39,5.04,19.04
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,1,4,39.67,27.23,-22.92,51.94,22.39,-20.36,39.25,32.26,-26.74,55.43,20.27,-17.58,46.71,24.21,-21.4
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,2,4,41.12,27.67,-23.39,49.8,23.85,-21.69,39.07,31.85,-26.36,55.49,20.28,-17.38,46.49,24.32,-21.39
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,3,4,41.52,27.73,-23.47,48.51,25.55,-22.89,38.95,32.24,-26.7,55.46,20.24,-17.37,46.68,24.19,-21.43
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,1,5,72.93,1.84,-1.01,55.28,23.47,-24.2,85.21,4.55,-3.91,53.99,21.82,-20.28,50.31,20.85,-19.39
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,2,5,76.45,0.99,0.42,53.88,24.16,-24.52,82.49,3.24,-2.37,53.27,21.22,-19.69,49.88,20.91,-19.52
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,3,5,78.21,0.92,0.38,53.51,24.2,-24.67,81.75,3.2,-1.85,53.3,21.25,-19.55,50,20.74,-19.49
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,1,6,47.47,24.52,-20.26,59.98,3.83,-2.37,44.28,27.61,-23.98,66.02,12.59,-12.19,78.66,6.17,-3.94
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,2,6,46.74,25.85,-20.94,59.33,3.89,-2.42,44.5,27.08,-23.65,66.1,12.49,-12.08,78.69,6.19,-3.92
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,3,6,46.62,26.37,-21.27,60.87,3.98,-2.69,44.86,27.12,-23.75,66.36,12.35,-11.93,78.67,6.22,-3.87
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,1,7,60.45,18.28,-16.47,45.91,4.91,3.87,42.63,30.58,-26.93,52.59,20.83,-16.33,89.26,-0.36,7.68
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,2,7,59.07,18.83,-16.99,48.26,4.66,5.61,42.33,30.61,-26.97,52.46,20.59,-16.21,85.12,0.5,5.8
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,3,7,59.31,19.01,-17.15,48.74,4.3,5.51,42.4,30.53,-26.74,51.96,20.77,-16.32,86.58,0.48,6.06
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,1,8,53.92,23.4,-20.61,79.52,2.26,-1.63,69.66,12.33,-10.84,57.75,20.66,-20.49,47.29,22.1,-19.87
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,2,8,52.51,25.26,-21.99,78.55,3.4,-2.75,55.39,19.99,-17.91,54.01,22.61,-22.35,48.1,21.19,-19.38
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,3,8,51.86,25.99,-22.61,76.69,7.08,-7.49,65.35,8.98,-7.85,56.31,20.21,-19.99,49.27,20.58,-18.88
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,1,9,48.71,23.54,-21.38,48.52,21.95,-20.37,49.08,23.37,-20.22,89.36,0.82,3.03,56.01,19.23,-17.44
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,2,9,48.9,24.27,-21.72,49.54,21.44,-19.93,45.52,24.48,-21.41,88.03,0.44,1.95,54.06,20.28,-18.3
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,3,9,49.28,23.96,-21.53,49.8,21.46,-20,46.64,23.66,-20.5,88.61,0.27,2.32,53.9,20.23,-18.35
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,1,10,49.23,28.91,-25.01,40.85,33.34,-28.77,67.04,13.31,-13.44,54.39,23.33,-22.11,46.76,21.75,-16.59
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,2,10,49.47,28.69,-25.62,41.47,32.78,-28.38,66.28,12.98,-13.22,55.5,21.18,-20.14,46.44,21.75,-16.7
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,3,10,49.97,28.13,-25.27,42.23,32.18,-28.03,68.22,12.7,-12.91,55.54,22.88,-20.96,46.49,21.55,-16.69
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,1,11,48.46,18.18,-16.69,56.07,18.58,-17.55,38.89,22.69,-16,50.22,24.61,-23.61,72.73,4.05,3.93
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,2,11,50.17,17.2,-15.85,55.59,18.46,-17.55,39.17,22.85,-16,48.74,22.42,-21.84,72.83,3.96,3.98
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,3,11,50.93,17.21,-15.95,55.6,18.34,-17.55,39.21,22.98,-16.14,44.03,24.64,-23.36,72.86,3.99,4.01
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,1,12,50.04,23.27,-21.23,45.9,29.57,-26.59,51.08,11.81,-9.54,46.11,24.01,-21.88,65.29,9.76,-7.45
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,2,12,51.57,22.23,-20.46,45.68,29.94,-26.84,58.01,13.52,-11.87,46.12,24.21,-21.78,64.87,9.95,-7.67
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_BP,1,BP,3,12,52.03,21.88,-20.28,46.03,29.62,-26.82,71.2,8.45,-7.64,45.99,24.24,-21.89,64.74,10.12,-7.72
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_BP,2,BP,1,1,52.48,23.37,-21.92,65.14,-3.1,16.99,60.41,19.78,-20.11,81.27,5.87,-4.19,50.69,22.07,-21.79
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_BP,2,BP,2,1,55.35,20.81,-20.07,49.82,-0.69,22.24,61.07,19.46,-19.83,80.66,6.01,-4.53,54.38,20.01,-19.22
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_BP,2,BP,3,1,55.04,20.95,-20.12,48.01,0.79,18.26,61.44,19.41,-19.6,80.77,5.95,-4.47,58.1,17.32,-17.06
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_BP,2,BP,1,2,51.57,26.76,-25.12,51.85,22.38,-21.4,72.13,5.35,-4.99,47.92,25.61,-24.07,58.05,18.46,-18.56
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_BP,2,BP,2,2,53.66,25.36,-23.96,52.02,22.45,-21.41,76.9,4.79,-4.36,47.7,24.87,-23.25,58.14,18.55,-18.46
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_BP,2,BP,3,2,54.01,25.05,-23.84,52.08,22.57,-21.39,77.35,4.5,-4.17,47.62,24.95,-23.38,58.18,18.5,-18.49
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_BP,2,BP,1,3,45.36,27.84,-24.59,41.18,26.59,-22.9,55.94,15.99,-13.93,74.29,8.91,-7.28,72.88,9.34,-8.08
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_BP,2,BP,2,3,45.68,28.08,-24.65,40.96,26.93,-23.1,48.43,20.35,-18.67,74.11,8.98,-7.29,72.88,9.47,-8.12
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_BP,2,BP,3,3,46.07,27.99,-24.77,41.07,27.74,-23.72,48.78,20.3,-18.68,74.36,8.97,-7.34,73.34,9.28,-7.97
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_BP,2,BP,1,4,46.91,25.59,-22.81,44.08,27.02,-24.2,81.88,4.94,-3.81,60.82,14.6,-12.62,48.6,21.58,-20.72
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_BP,2,BP,2,4,47.1,26.02,-22.95,43.37,28.11,-25.02,79.01,4.91,-4.37,61.28,14.37,-12.25,49.1,21.32,-20.46
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_BP,2,BP,3,4,47.08,25.95,-23.07,43.23,28.23,-25.11,78.18,5.49,-4.91,61.8,14.11,-12.07,49.33,21.14,-20.29
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_BP,2,BP,1,5,41.45,24.66,-22.16,46.54,25.09,-23.04,62.71,17.56,-14.58,73.18,10.26,-9.51,57.78,18.18,-18.31
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_BP,2,BP,2,5,42.5,24.81,-22.39,46.77,24.9,-22.96,62.86,17.46,-14.39,73.18,10.18,-9.55,57.57,18.06,-18.36
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_BP,2,BP,3,5,41.99,25.29,-22.85,46.79,24.78,-23.03,62.98,17.3,-14.3,72.92,10.33,-9.61,57.6,18.08,-18.38
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_BP,2,BP,1,6,44.98,25.21,-21.58,43.7,28.5,-24.75,59.33,18.21,-16.1,80.61,6.24,-4.21,53.92,20.58,-19.23
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_BP,2,BP,2,6,48.38,24.11,-20.87,43.56,28.79,-24.98,58.76,18.68,-16.57,80.36,6.34,-4.26,54.28,20.63,-19.22
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_BP,2,BP,3,6,48.6,23.93,-20.98,43.79,28.32,-24.69,58.5,19.23,-16.98,80.44,6.32,-4.23,54.44,20.6,-19.19
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_BP,2,BP,1,7,43.93,18.64,-16.04,59.26,17.48,-17.14,71.89,9.49,-8.79,46.6,25.27,-22.35,72.59,10.38,-5.85
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_BP,2,BP,2,7,43.95,18.39,-16.18,63.46,12.98,-12.64,69.13,10.85,-10.15,46.58,25.18,-22.22,67.16,14.06,-9.95
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_BP,2,BP,3,7,44.32,18.56,-16.37,67.05,10.71,-10.39,69.44,10.75,-10.16,46.49,25.17,-22.38,67.2,13.99,-9.87
